모델,R2,MAE,RMSE
Linear Regression,0.4943923756308226,0.7965692856476151,8.971168619006148
Random Forest,0.623580764715487,0.5955615930878897,7.740662219254363
Gradient Boosting,0.5695107691766761,0.6032692440613584,8.277960661591916
LightGBM,0.5304168478312178,0.6373658688455985,8.645666239087499
XGBoost,0.44968117525263895,0.664398962720146,9.35942992275904
