변수,VIF
VOD시청건수,3.31
VOD시청시간,3.08
VOD자산수,2.86
전월RVOD구매,1.41
SVOD건수,1.32
SVOD구독수,1.23
FOD건수,1.14
유튜브이용,1.06
넷플릭스이용,1.04
계약만료구간,1.03
가입기간(일),1.03
해지여부,1.02
채널시청빈도,1.01
키즈이용량,1.0
