모델,Train PRC-AUC,Val PRC-AUC,Gap (Train-Val),PRC-AUC,Accuracy,Precision,Recall,F1
Logistic Regression,0.3344678424918836,0.335636532087855,-0.0011686895959713839,0.335636532087855,0.6377,0.2928471604624571,0.5784190715181933,0.38883265856950067
Random Forest,0.5287658723933428,0.4397049624931206,0.08906090990022225,0.4397049624931206,0.814,0.6556991774383079,0.14002509410288583,0.23076923076923078
Gradient Boosting,0.5235986790738176,0.4778387915155905,0.04575988755822713,0.4778387915155905,0.8216,0.6707616707616708,0.20552070263488081,0.3146369573568959
LightGBM,0.5147441428512736,0.4781966369706467,0.036547505880626885,0.4781966369706467,0.82185,0.6738056013179572,0.2052697616060226,0.3146758992113868
XGBoost,0.5560590318876308,0.4768663435319177,0.07919268835571314,0.4768663435319177,0.8219,0.649469964664311,0.23061480552070263,0.3403703703703704
