모델,Train PRC-AUC,Val PRC-AUC,Gap (Train-Val),Accuracy,Precision,Recall,F1
Logistic Regression,0.37233538626871965,0.36834906625381847,0.003986320014901179,0.6564,0.31421929484695854,0.6090112640801001,0.41455103084000683
Random Forest,0.5608129737159147,0.464157454947755,0.09665551876815964,0.81545,0.7585034013605442,0.11163954943679599,0.1946323368972289
Gradient Boosting,0.5660791962097209,0.5200223520899793,0.04605684411974165,0.8249,0.6961018297533811,0.2190237797246558,0.3332063975628332
LightGBM,0.530572946522146,0.4925633301235752,0.03800961639857081,0.82055,0.6832129963898917,0.1894868585732165,0.29668822261414857
XGBoost,0.6144405600984382,0.5214202832033461,0.09302027689509207,0.82585,0.6671018276762402,0.255819774718398,0.36982087931970326
