p_mt,TV_avg,VOD_avg,view_cnt,p_mt_str
202302,4.584601584530684,3989.763918356385,222270,2023-02
202304,4.277068231012091,1041.345764456638,216519,2023-04
202305,4.324863225304373,4168.360705462081,212216,2023-05
202306,4.271712855951388,3702.093287263196,208711,2023-06
202307,4.486970677745036,4311.320829911599,205899,2023-07
202308,4.460120342342165,3926.4353227698953,201742,2023-08
202309,4.429628072283125,3531.8563598137857,198642,2023-09
202310,4.307857502966354,593.5705279346537,195209,2023-10
202311,4.261333916718951,3292.131839646006,180589,2023-11
