모델,Train PRC-AUC,Val PRC-AUC,ROC-AUC,F1,Precision@10%,Precision@20%,Lift@10%
xgboost,0.5251301338646528,0.4750886655701853,0.7568892230564681,0.26861489191353083,0.5755,0.46,2.881101376720901
catboost,0.48857976731412084,0.4685410152621713,0.7528189290033348,0.26629236013635454,0.566,0.452,2.8335419274092613
random_forest,0.6380968793055187,0.44206873793156914,0.7327690697407999,0.22144039735099338,0.5415,0.433,2.710888610763454
lightgbm,0.48671156114189174,0.4414689768109641,0.7318931622979208,0.2283937823834197,0.5335,0.43575,2.6708385481852313
baseline,0.35371740483537906,0.3486017024122666,0.6748624237028558,0.4043321299638989,0.433,0.37375,2.1677096370463076
