모델,Train R2,Val R2,MAE,RMSE
random_forest,0.8249812465689491,0.6078710506446878,0.5942620066626294,7.900537982431273
catboost,0.7401612431244887,0.5829667139300254,0.6508236282781833,8.14756009667785
lightgbm,0.5338671437465252,0.5091384129060392,0.7134875130007957,8.839378609620267
baseline,0.3642894683439485,0.4943923756308227,0.7965692856476153,8.971168619006146
xgboost,0.7014222623534184,0.4468858599433369,0.7278674491025507,9.383170178273533
