모델,Train PRC-AUC,Val PRC-AUC,ROC-AUC,F1,Precision@10%,Precision@20%,Lift@10%
catboost,0.5626407117618176,0.5112747305717704,0.7733853977890982,0.3253312848089111,0.6155,0.48575,3.081351689612015
xgboost,0.5556012165464761,0.510220633234057,0.7746670842458102,0.3281428028864413,0.609,0.48875,3.048811013767209
lightgbm,0.5491338116127636,0.5074975080688687,0.772059341593424,0.3239221671117894,0.603,0.486,3.0187734668335415
random_forest,0.6110904199461283,0.4643542796837252,0.7393673988768372,0.2553017944535073,0.565,0.4495,2.828535669586983
baseline,0.35655813716813195,0.3516541962609736,0.6739336620009626,0.40213523131672596,0.4275,0.36675,2.1401752190237797
