모델,R2,MAE,RMSE
Linear Regression,0.042712732556682065,3.1947653975554693,4.002147655337887
Random Forest,0.865665137082454,1.024543382389007,1.499223339016439
Gradient Boosting,0.865904645046306,1.0243650640515727,1.4978862470843706
LightGBM,0.8663437147082783,1.0233801202861317,1.4954319650155392
